ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
1,4/8/2025,4,0,0,21.5,9.544679642,9.338410378,3.960299969,5.378109932,1,0.762094975,10.43060017,7.073420048,0.273999989,,,0.493999988,0.997681022,11.78279972,5092.819824,12636.40039,
2,4/8/2025,4,0,0,22,8.385410309,8.220669746,3.436100006,4.784570217,1,0.62698698,11.54469967,7.65019989,0.233999997,,,0.416000009,0.997497976,11.58139992,5089.220215,12634.7998,
3,4/8/2025,4,0,0,22.5,4.505650043,4.425980091,2.707420111,1.71855998,1,0.275739998,11.91390038,6.247419834,0.247999996,,,0.349999994,0.997619987,11.6317997,5088.779785,12633.59961,
4,4/8/2025,4,0,0,22.5,5.844240189,5.74090004,2.87274003,2.868160009,1,0.393348008,11.90680027,7.308159828,0.244000003,,,0.360000014,0.997741997,11.73250008,5094.629883,12632.7998,
5,4/8/2025,4,0,0,22.5,9.661149979,9.490329742,3.961189985,5.529139996,1,0.713025987,11.54170036,7.771550179,0.257999986,,,0.463999987,0.997802973,11.78279972,5095.009766,12636.7998,
6,4/8/2025,4,0,0,23,10.06799984,9.909770012,3.84401989,6.065760136,1,0.810948014,11.01379967,7.49630022,0.230000004,,,0.465999991,0.997802973,11.6317997,5094.310059,12632.40039,
7,4/8/2025,4,0,0,23,9.758769989,9.605389595,4.038980007,5.566410065,1,0.721846998,11.45670033,7.730219841,0.266000003,,,0.474000007,0.997559011,11.58139992,5092.299805,12631.59961,
8,4/8/2025,4,0,0,23,6.795889854,6.689080238,4.042819977,2.646260023,1,0.374978989,11.55070019,7.07133007,0.349999994,,,0.458000004,0.997986019,11.8835001,5097.899902,12632.7998,
9,4/8/2025,4,0,0,23,9.500450134,9.351129532,3.913000107,5.438129902,1,0.687041998,11.89210033,7.934649944,0.241999999,,,0.444000006,0.997559011,11.43039989,5094.060059,12626.40039,
10,4/8/2025,4,0,0,23.5,8.055480003,7.944699764,3.628550053,4.316150188,1,0.539807022,12.32040024,8.016269684,0.247999996,,,0.404000014,0.997437,11.32970047,5093.390137,12623.90039,
11,4/8/2025,4,0,0,23.5,7.578579903,7.474359989,3.563019991,3.911339998,1,0.495490998,12.33460045,7.912209988,0.254000008,,,0.398000002,0.997681022,11.53110027,5096.350098,12628.7998,
12,4/8/2025,4,0,0,23.5,8.10284996,7.991419792,3.474750042,4.516670227,1,0.597015023,11.5302,7.585330009,0.233999997,,,0.407999992,0.997375011,11.12819958,5091.990234,12615.90039,
13,4/8/2025,4,0,0,24,8.391460419,8.292550087,3.678299904,4.614250183,1,0.596863985,11.74260044,7.750209808,0.247999996,,,0.419999987,0.997497976,11.12819958,5092.799805,12620.7002,
14,4/8/2025,4,0,0,24,7.993700027,7.899469852,3.559259892,4.340219975,1,0.528437018,12.72420025,8.233920097,0.244000003,,,0.398000002,0.997497976,11.22889996,5093.370117,12620.7002,
15,4/8/2025,4,0,0,24,8.675100327,8.572839737,3.666359901,4.906469822,1,0.599448979,12.45090008,8.205010414,0.230000004,,,0.404000014,0.997559011,11.12819958,5094.060059,12619.09961,
16,4/8/2025,4,0,0,24.5,8.131270409,8.051389694,3.663450003,4.38793993,1,0.533594012,12.73320007,8.243499756,0.244000003,,,0.400000006,0.997559011,11.22889996,5094.060059,12616.7002,
17,4/8/2025,4,0,0,24.5,8.611760139,8.527159691,4.112269878,4.414899826,1,0.538722992,12.63630009,8.214670181,0.280000001,,,0.43599999,0.997619987,11.22889996,5097.459961,12615.09961,
18,4/8/2025,4,0,0,24.5,9.965550423,9.867659569,4.043000221,5.824659824,1,0.721242011,12.00220013,8.095649719,0.238000005,,,0.44600001,0.997559011,11.17860031,5095.259766,12611.5,
19,4/8/2025,4,0,0,24.5,10.5323,10.42879963,4.24421978,6.184569836,1,0.804356992,11.44509983,7.707660198,0.252000004,,,0.493999988,0.997559011,11.12819958,5095.950195,12611.09961,
20,4/8/2025,4,0,0,25,7.734570026,7.673779964,3.550820112,4.122970104,1,0.510775983,12.5958004,8.092220306,0.252000004,,,0.40200001,0.997497976,10.97719955,5093.870117,12609,
21,4/8/2025,4,0,0,25.5,7.48348999,7.439380169,3.513030052,3.926350117,1,0.543339014,11.14480019,7.244919777,0.277999997,,,0.43599999,0.997437,10.67500019,5091.950195,12609,
22,4/8/2025,4,0,0,25,6.481249809,6.430319786,3.037940025,3.392379999,1,0.444346994,12.12049961,7.658390045,0.224000007,,,0.351999998,0.996887028,10.37290001,5088.660156,12602.2002,
23,4/8/2025,4,0,0,25.5,7.179629803,7.137320042,3.210989952,3.926320076,1,0.492727011,12.43719959,7.990509987,0.219999999,,,0.361999989,0.997253001,10.67500019,5090.790039,12604.2002,
24,4/8/2025,4,0,0,25.5,7.210030079,7.167540073,3.292740107,3.874799967,1,0.530682981,11.29360008,7.321630001,0.241999999,,,0.395999998,0.997253001,10.52400017,5091.040039,12606.2002,
25,4/8/2025,4,0,0,25.5,6.357749939,6.320280075,3.29234004,3.027940035,1,0.424279988,11.4673996,7.157189846,0.266000003,,,0.389999986,0.99713099,10.37290001,5089.399902,12602,
26,4/8/2025,4,0,0,25.5,8.504630089,8.454509735,3.950730085,4.503779888,1,0.569065988,12.10029984,7.936620235,0.273999989,,,0.437999994,0.997192025,10.47360039,5087,12604.2002,
27,4/8/2025,4,0,0,25.5,7.165339947,7.123109818,3.221930027,3.901180029,1,0.521189988,11.66800022,7.504839897,0.238000005,,,0.39199999,0.997375011,10.72539997,5089.529785,12607,
28,4/8/2025,4,0,0,25.5,7.119850159,7.077879906,3.296159983,3.781719923,1,0.480493993,12.37090015,7.891689777,0.230000004,,,0.370000005,0.997313976,10.57429981,5091.100098,12599.40039,
29,4/8/2025,4,0,0,26,7.977210045,7.945869923,3.675359964,4.270510197,1,0.564123988,11.61690044,7.591479778,0.266000003,,,0.430000007,0.997192025,10.52400017,5088.330078,12598.2002,
30,4/8/2025,4,0,0,26,9.101690292,9.065919876,3.659559965,5.406360149,1,0.682675004,11.86159992,7.940209866,0.224000007,,,0.421999991,0.997375011,10.57429981,5092.049805,12601,
31,4/8/2025,4,0,0,26,10.04300022,10.00349998,3.836179972,6.167329788,1,0.770408988,11.84910011,8.027319908,0.211999997,,,0.43599999,0.997253001,10.47360039,5090.919922,12599.40039,
32,4/8/2025,4,0,0,26,7.734300137,7.703909874,3.482189894,4.221720219,1,0.567023993,11.39780045,7.464519978,0.247999996,,,0.412,0.997437,10.62469959,5091.720215,12604.59961,
33,4/8/2025,4,0,0,26,10.10980034,10.06999969,4.053009987,6.017029762,1,0.786548018,11.29030037,7.67098999,0.239999995,,,0.467999995,0.997253001,10.52400017,5090.350098,12602.2002,
34,4/8/2025,4,0,0,26,8.142970085,8.110980034,3.565510035,4.545460224,1,0.561591983,12.44369984,8.11618042,0.238000005,,,0.40200001,0.997253001,10.52400017,5092.430176,12600.59961,
35,4/8/2025,4,0,0,26,6.87609005,6.849070072,3.657989979,3.191080093,1,0.393900007,13.22710037,8.124070168,0.280000001,,,0.395999998,0.997192025,10.37290001,5091.549805,12596.2002,
36,4/8/2025,4,0,0,26,9.232600212,9.19631958,3.888439894,5.307879925,1,0.632505,12.77299976,8.414440155,0.231999993,,,0.419999987,0.997313976,10.52400017,5091.290039,12597.40039,
37,4/8/2025,4,0,0,26,6.026690006,6.003009796,3.064860106,2.938139915,1,0.376340985,12.83300018,7.828629971,0.238000005,,,0.34799999,0.997253001,10.52400017,5091.799805,12599.7998,
38,4/8/2025,4,0,0,26.5,8.251159668,8.234950066,3.791960001,4.442989826,1,0.560965002,12.14220047,7.944029808,0.25999999,,,0.421999991,0.997008979,10.22189999,5089.089844,12597,
39,4/8/2025,4,0,0,26.5,6.407509804,6.394919872,3.400979996,2.993940115,1,0.369585991,13.36730003,8.125109673,0.25,,,0.35800001,0.997008979,10.22189999,5088.839844,12596.2002,
40,4/8/2025,4,0,0,26.5,7.981289864,7.965610027,3.623600006,4.342010021,1,0.545888007,12.29179955,7.977399826,0.246000007,,,0.405999988,0.997070014,10.22189999,5089.089844,12595.2998,
41,4/8/2025,4,0,0,26.5,7.395770073,7.381239891,3.644439936,3.736799955,1,0.434285998,13.7421999,8.630809784,0.246000007,,,0.372000009,0.996948004,10.12119961,5087.890137,12591.2998,
42,4/8/2025,4,0,0,26.5,10.27530003,10.25510025,4.172170162,6.082910061,1,0.721953988,12.55650043,8.449350357,0.239999995,,,0.449999988,0.997192025,10.27219963,5089.819824,12597,
43,4/8/2025,4,0,0,26.5,7.316530228,7.302149773,3.353070021,3.949090004,1,0.502623022,12.25979996,7.882460117,0.239999995,,,0.386000007,0.996765018,10.02040005,5087.140137,12588.09961,
44,4/8/2025,4,0,0,26.5,7.46130991,7.446650028,3.542789936,3.903870106,1,0.499386996,12.17949963,7.839809895,0.252000004,,,0.395999998,0.99713099,10.27219963,5091.359863,12593.2998,
45,4/8/2025,4,0,0,26.5,7.878650188,7.863180161,3.610990047,4.252190113,1,0.511792004,12.90690041,8.331819534,0.238000005,,,0.386000007,0.997192025,10.32260036,5091.52002,12598.2002,
46,4/8/2025,4,0,0,26.5,7.596189976,7.581260204,3.43565011,4.145619869,1,0.527306974,12.14869976,7.883989811,0.236000001,,,0.388000011,0.997192025,10.37290001,5089.649902,12595.40039,
