ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
1,4/14/2025,4,0,0,25,4.271810055,4.260930061,1.707749963,2.553179979,1,0.43344599,9.410860062,5.905189991,0.159999996,,,0.286000013,0.997497976,10.82610035,5086.319824,12613.5,
2,4/14/2025,4,0,0,25,4.199530125,4.188829899,1.719110012,2.469719887,1,0.414077014,9.644860268,5.979000092,0.156000003,,,0.277999997,0.997559011,10.82610035,5087.080078,12611.90039,
3,4/14/2025,4,0,0,25,4.236060143,4.225269794,1.838729978,2.386539936,1,0.380917013,10.28960037,6.281360149,0.165999994,,,0.277999997,0.997437,10.67500019,5086.379883,12607.40039,
4,4/14/2025,4,0,0,25,4.262290001,4.251440048,1.85086,2.400569916,1,0.378217995,10.40680027,6.364160061,0.165999994,,,0.275999993,0.997313976,10.67500019,5088.52002,12607.40039,
5,4/14/2025,4,0,0,25.5,4.211709976,4.211709976,2.093130112,2.118590117,1,0.356485993,9.870829582,5.957520008,0.206,,,0.310000002,0.997559011,10.82610035,5089.339844,12608.59961,
6,4/14/2025,4,0,0,25.5,3.990159988,3.990159988,2.015470028,1.97468996,1,0.328144014,10.37709999,6.032489777,0.192000002,,,0.294,0.997559011,10.82610035,5089.470215,12608.59961,
7,4/14/2025,4,0,0,25.5,4.741509914,4.741509914,2.148449898,2.593060017,1,0.40267399,10.3998003,6.455760002,0.194000006,,,0.310000002,0.997497976,10.77579975,5089.589844,12608.2002,
8,4/14/2025,4,0,0,25.5,4.765079975,4.765079975,2.111099958,2.653980017,1,0.425893992,9.993330002,6.248350143,0.189999998,,,0.31400001,0.997313976,10.62469959,5086.189941,12598.2002,
9,4/14/2025,4,0,0,25.5,4.567540169,4.567540169,1.995190024,2.572340012,1,0.405362993,10.31910038,6.36288023,0.180000007,,,0.300000012,0.997313976,10.57429981,5087.580078,12601,
10,4/14/2025,4,0,0,25.5,4.53718996,4.53718996,1.901929975,2.635250092,1,0.423052013,10.01920033,6.24477005,0.164000005,,,0.287999988,0.997497976,10.82610035,5088.899902,12607,
