ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
28,4/11/2025,4,0,0,26.5,4.267650127,4.289380074,2.109139919,2.180239916,1,0.513171971,6.593430042,4.261290073,0.328000009,,,0.476000011,0.997008979,10.32260036,5089.470215,12594.5,
29,4/11/2025,4,0,0,26.5,3.490159988,3.507940054,1.978479981,1.529459953,1,0.435326993,5.603559971,3.523250103,0.386000007,,,0.512000024,0.997192025,10.47360039,5091.689941,12595.2998,
30,4/11/2025,4,0,0,27,4.732820034,4.768970013,2.525729895,2.243240118,1,0.60838002,5.596189976,3.698299885,0.444000006,,,0.620000005,0.997008979,10.37290001,5090.470215,12591.7002,
31,4/11/2025,4,0,0,27,4.082970142,4.114160061,2.096980095,2.017179966,1,0.588072002,5.246500015,3.441289902,0.398000002,,,0.569999993,0.996765018,10.12119961,5088.839844,12588.90039,
32,4/11/2025,4,0,0,27,3.304009914,3.329250097,2.631220102,0.698032022,1,0.262120992,5.267029762,2.670840025,0.589999974,,,0.691999972,0.997070014,10.42329979,5090.470215,12592.90039,
33,4/11/2025,4,0,0,27,2.398360014,2.416680098,1.371320009,1.045359969,1,0.345990986,5.070360184,3.031160116,0.312000006,,,0.414000005,0.996765018,10.07079983,5087.77002,12589.2998,
34,4/11/2025,4,0,0,27,5.137070179,5.176320076,1.984349966,3.19197011,1,0.773989975,6.129730225,4.138689995,0.282000005,,,0.50999999,0.996460021,9.919739723,5085.25,12582,
35,4/11/2025,4,0,0,27.5,5.995150089,6.056220055,2.289720058,3.766499996,1,1.052770019,5.206989765,3.588210106,0.31400001,,,0.629999995,0.997070014,10.42329979,5090.72998,12592.90039,
36,4/11/2025,4,0,0,27.5,3.817549944,3.856430054,1.817849994,2.038579941,1,0.557695985,5.638360023,3.666549921,0.31400001,,,0.477999985,0.996948004,10.37290001,5089.27002,12594.09961,
37,4/11/2025,4,0,0,27.5,5.285449982,5.339290142,2.350090027,2.989200115,1,0.780654013,5.670199871,3.841289997,0.35800001,,,0.586000025,0.996825993,10.17150021,5090.220215,12589.2998,
38,4/11/2025,4,0,0,27.5,3.85055995,3.889780045,1.860170007,2.029609919,1,0.515398026,6.128089905,3.952660084,0.298000008,,,0.448000014,0.996276975,9.718319893,5083.930176,12578,
39,4/11/2025,4,0,0,27.5,5.78757,5.846519947,2.295360088,3.551160097,1,0.931886017,5.542640209,3.823559999,0.31400001,,,0.583999991,0.996643007,9.970089912,5087.819824,12581.2002,
40,4/11/2025,4,0,0,28,6.885519981,6.973189831,2.623990059,4.349199772,1,1.114770055,5.593510151,3.914089918,0.356000006,,,0.677999973,0.996765018,10.12119961,5087.52002,12588.09961,
41,4/11/2025,4,0,0,28,6.305490017,6.385769844,2.378580093,4.007190228,1,1.064059973,5.431690216,3.779109955,0.305999994,,,0.615999997,0.996520996,9.919739723,5086.950195,12580.7998,
42,4/11/2025,4,0,0,28,6.937270164,7.025599957,2.855170012,4.170430183,1,1.155069947,5.165790081,3.622270107,0.386000007,,,0.720000029,0.996765018,10.07079983,5090.97998,12585.2998,
43,4/11/2025,4,0,0,28,6.065750122,6.142980099,2.367079973,3.775899887,1,0.895699024,6.155459881,4.230050087,0.287999988,,,0.547999978,0.996581972,9.970089912,5088.459961,12583.7002,
44,4/11/2025,4,0,0,28,4.225619793,4.279419899,1.80776,2.471659899,1,0.597226977,6.290019989,4.152500153,0.247999996,,,0.419999987,0.996643007,9.970089912,5088.47998,12589.2998,
45,4/11/2025,4,0,0,28,5.257999897,5.324950218,2.117229939,3.207720041,1,0.802954018,5.911409855,4.008110046,0.296000004,,,0.532000005,0.996703982,9.970089912,5088.209961,12578.7998,
46,4/11/2025,4,0,0,28.5,6.543570042,6.607200146,2.473969936,4.133230209,1,1.019189954,5.85036993,4.069310188,0.305999994,,,0.600000024,0.996581972,9.869379997,5088.330078,12577.2002,
47,4/11/2025,4,0,0,28.5,7.158639908,7.22826004,2.571990013,4.656260014,1,1.180029988,5.641429901,3.958679914,0.277999997,,,0.620000005,0.996765018,9.970089912,5088.209961,12577.2002,
48,4/11/2025,4,0,0,28.5,5.397640228,5.450129986,2.536350012,2.913779974,1,0.818195999,5.244800091,3.573220015,0.416000009,,,0.653999984,0.996643007,9.970089912,5091.359863,12582.90039,
49,4/11/2025,4,0,0,28.5,7.138319969,7.207729816,2.395070076,4.812660217,1,1.327620029,5.14304018,3.637010098,0.261999995,,,0.646000028,0.996703982,9.919739723,5089.839844,12586.5,
50,4/11/2025,4,0,0,28.5,7.687630177,7.762390137,2.743769884,5.018610001,1,1.188420057,6.035170078,4.238440037,0.305999994,,,0.649999976,0.99633801,9.617609978,5086.379883,12573.2002,
51,4/11/2025,4,0.140000001,0.15,25,151.2319946,150.8470001,109.2320023,41.61510086,2,7.539589882,21.92810059,5.533400059,0.667999983,2.145999908,7.06799984,9.423999786,0.997497976,10.67500019,5090.540039,12613.90039,
52,4/11/2025,4,0.160999998,0.15,25,171.3899994,170.9539948,116.8450012,54.10829926,2,8.329919815,23.14590073,6.513150215,0.717999995,2.036000013,7.06799984,9.423999786,0.997313976,10.62469959,5089.470215,12603.7998,
53,4/11/2025,4,0.162,0.15,25,172.3600006,171.9210052,117.5979996,54.32300186,2,8.403059959,22.39109993,6.482870102,0.691999972,2.21600008,7.06799984,9.423999786,0.997192025,10.37290001,5089.870117,12596.2002,
