ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
28,4/11/2025,4,0,0,25,12.99800014,12.96490002,5.458010197,7.506899834,1,0.783563972,14.13029957,9.61095047,0.284000009,,,0.50999999,0.996825993,10.62469959,5084.939941,12609.90039,
29,4/11/2025,4,0,0,25,12.33090019,12.29950047,4.777460098,7.521989822,1,0.793940008,13.97200012,9.503259659,0.228,,,0.458000004,0.996948004,10.87650013,5086.009766,12619.09961,
30,4/11/2025,4,0,0,25,11.96710014,11.93659973,5.027979851,6.908619881,1,0.748677015,13.66959953,9.254890442,0.270000011,,,0.486000001,0.997070014,10.77579975,5086.319824,12611.7998,
31,4/11/2025,4,0,0,25,10.91650009,10.88869953,4.853759766,6.034920216,1,0.653743982,13.9083004,9.259010315,0.275999993,,,0.465999991,0.997008979,10.82610035,5086.890137,12614.7002,
32,4/11/2025,4,0,0,25,14.52610016,14.48910046,5.461090088,9.028059959,1,0.941366017,13.9197998,9.617970467,0.252000004,,,0.523999989,0.99713099,11.02750015,5088.209961,12615.90039,
33,4/11/2025,4,0,0,25,13.98060036,13.94499969,5.31182003,8.633150101,1,0.904540002,13.90649986,9.570529938,0.256000012,,,0.518000007,0.997253001,10.97719955,5088.399902,12613.90039,
34,4/11/2025,4,0,0,25.5,15.10140038,15.10140038,5.522140026,9.579219818,1,0.956578016,14.51270008,10.04469967,0.231999993,,,0.508000016,0.996948004,10.82610035,5086.509766,12613.90039,
35,4/11/2025,4,0,0,25.5,12.8093996,12.8093996,5.277450085,7.531939983,1,0.821529984,13.47399998,9.193989754,0.273999989,,,0.512000024,0.997192025,10.92679977,5088,12615.90039,
36,4/11/2025,4,0,0,25.5,13.22649956,13.22649956,5.115180016,8.111359596,1,0.861681998,13.78670025,9.443949699,0.254000008,,,0.504000008,0.996765018,10.72539997,5085.879883,12610.7002,
37,4/11/2025,4,0,0,25.5,14.8288002,14.8288002,5.530920029,9.2979002,1,1.024160028,13.11699963,9.104160309,0.256000012,,,0.55400002,0.997192025,11.07789993,5090.189941,12617.90039,
38,4/11/2025,4,0,0,25.5,14.05080032,14.05080032,5.522099972,8.528670311,1,0.889864028,13.96189976,9.614170074,0.263999999,,,0.519999981,0.996887028,10.72539997,5086.839844,12608.2002,
39,4/11/2025,4,0,0,25.5,14.24260044,14.24260044,5.379779816,8.862839699,1,0.964464009,13.30189991,9.215270042,0.246000007,,,0.523999989,0.997192025,10.92679977,5088.890137,12615.09961,
40,4/11/2025,4,0,0,25.5,12.42669964,12.42669964,5.187150002,7.239560127,1,0.75524199,14.1885004,9.613320351,0.284000009,,,0.501999974,0.99713099,10.92679977,5087.330078,12616.7002,
