ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
1,4/15/2025,4,0,0,21.5,12.39150047,12.13910007,5.023059845,7.116010189,1,0.798057973,13.15410042,8.942310333,0.275999993,,,0.508000016,0.99713099,11.43039989,5084.379883,12626.40039,
2,4/15/2025,4,0,0,22,9.860930443,9.685159683,4.312119961,5.373040199,1,0.608883023,13.38510036,8.848719597,0.254000008,,,0.430000007,0.997253001,11.58139992,5086.009766,12625.2002,
3,4/15/2025,4,0,0,22,11.02330017,10.82680035,4.711850166,6.114960194,1,0.746770978,12.13479996,8.207570076,0.277999997,,,0.493999988,0.997681022,11.73250008,5091.040039,12637.59961,
4,4/15/2025,4,0,0,22,12.55099964,12.32730007,4.668680191,7.658579826,1,0.852005005,13.14929962,9.010890007,0.219999999,,,0.465999991,0.997559011,11.58139992,5088.899902,12635.59961,
5,4/15/2025,4,0,0,22.5,12.80630016,12.61069965,4.967939854,7.642739773,1,0.850149989,13.16399956,9.013540268,0.241999999,,,0.488000005,0.997375011,11.38000011,5088.330078,12632.40039,
6,4/15/2025,4,0,0,22.5,13.70499992,13.49559975,5.171140194,8.324480057,1,0.91058898,13.28559971,9.165929794,0.244000003,,,0.505999982,0.997375011,11.38000011,5090.470215,12626.7998,
7,4/15/2025,4,0,0,23,12.5333004,12.37370014,5.293859959,7.07983017,1,0.807437003,12.90690041,8.791890144,0.286000013,,,0.519999981,0.997313976,11.38000011,5088.779785,12630.7998,
8,4/15/2025,4,0,0,23,12.48799992,12.32900047,4.731639862,7.597390175,1,0.846647024,13.1566,8.99435997,0.230000004,,,0.476000011,0.997681022,11.53110027,5093.799805,12625.59961,
9,4/15/2025,4,0,0,23,11.49170017,11.34529972,4.617189884,6.728149891,1,0.732281983,13.68830013,9.212109566,0.239999995,,,0.453999996,0.997375011,11.27929974,5089.720215,12625.2002,
10,4/15/2025,4,0,0,23,11.01319981,10.87300014,4.758150101,6.114870071,1,0.678649008,13.53030014,9.035730362,0.261999995,,,0.460000008,0.997192025,11.12819958,5089.509766,12620.7002,
11,4/15/2025,4,0,0,23.5,13.50389957,13.36639977,5.080510139,8.285889626,1,0.890237987,13.58290005,9.33370018,0.230000004,,,0.488000005,0.997192025,11.07789993,5090.140137,12618.7002,
12,4/15/2025,4,0,0,24,14.69270039,14.58049965,5.513869762,9.066590309,1,0.956182003,13.77340031,9.511679649,0.246000007,,,0.523999989,0.996887028,11.02750015,5087.910156,12615.5,
13,4/15/2025,4,0,0,24,11.45950031,11.37199974,4.710030079,6.661950111,1,0.716813982,13.8888998,9.319439888,0.239999995,,,0.449999988,0.997253001,11.07789993,5090.410156,12619.5,
14,4/15/2025,4,0,0,24,14.06410027,13.95660019,5.116409779,8.840229988,1,0.923864007,13.95149994,9.59335041,0.216000006,,,0.486000001,0.997437,11.22889996,5093.490234,12622.2998,
