ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
1,4/10/2025,4,0,0,24.5,3.740700006,3.721649885,1.609109998,2.112540007,1,0.461374998,7.299699783,4.590559959,0.181999996,,,0.319999993,0.997437,10.92679977,5092.689941,12611.90039,
2,4/10/2025,4,0,0,24.5,4.065989971,4.04527998,1.985309958,2.059969902,1,0.424378991,7.795939922,4.866260052,0.241999999,,,0.365999997,0.997497976,11.07789993,5094.569824,12619.5,
3,4/10/2025,4,0,0,24.5,6.76913023,6.734660149,2.559720039,4.174940109,1,0.814737976,7.534100056,5.137129784,0.211999997,,,0.448000014,0.997497976,10.92679977,5094,12615.09961,
4,4/10/2025,4,0,0,24.5,5.294270039,5.267310143,2.080699921,3.186609983,1,0.633038998,7.632699966,5.045839787,0.187999994,,,0.374000013,0.997619987,11.12819958,5092.490234,12615.09961,
5,4/10/2025,4,0,0,24.5,4.859570026,4.834819794,2.192280054,2.642529964,1,0.528455019,7.807990074,5.014570236,0.225999996,,,0.384000003,0.997192025,10.62469959,5088.839844,12605.40039,
6,4/10/2025,4,0,0,24.5,3.131330013,3.115380049,2.123070002,0.992316008,1,0.246722996,8.295180321,4.03181982,0.273999989,,,0.375999987,0.997559011,10.97719955,5094.439941,12616.2998,
7,4/10/2025,4,0,0,25,3.551779985,3.542740107,1.766829967,1.775900006,1,0.344154,8.676039696,5.172500134,0.211999997,,,0.31400001,0.997619987,11.12819958,5093.370117,12612.7002,
8,4/10/2025,4,0,0,25,3.335489988,3.326999903,1.877460003,1.449530005,1,0.309159994,8.357970238,4.699530125,0.228,,,0.330000013,0.997681022,10.97719955,5094.910156,12617.90039,
9,4/10/2025,4,0,0,25,4.161970139,4.151370049,2.137809992,2.013560057,1,0.370072007,8.969659805,5.455629826,0.238000005,,,0.345999986,0.997313976,10.82610035,5091.540039,12611.90039,
10,4/10/2025,4,0,0,25,4.421050072,4.409790039,1.89470005,2.515089989,1,0.526335001,7.387700081,4.79049015,0.200000003,,,0.351999998,0.997497976,10.92679977,5093.240234,12614.2998,
11,4/10/2025,4,0,0,25,5.51210022,5.498069763,2.318520069,3.179539919,1,0.628491998,7.645989895,5.071690083,0.228,,,0.409999996,0.997497976,10.92679977,5091.540039,12607.7998,
12,4/10/2025,4,0,0,25,4.066549778,4.056190014,1.83228004,2.223910093,1,0.454331011,7.757830143,4.908100128,0.203999996,,,0.335999995,0.997313976,10.67500019,5088.459961,12606.59961,
13,4/10/2025,4,0,0,25,7.059219837,7.041240215,2.337579966,4.703660011,1,0.992410004,6.858119965,4.752399921,0.178000003,,,0.465999991,0.997313976,10.72539997,5087.330078,12607,
14,4/10/2025,4,0,0,25,6.171860218,6.156139851,2.260469913,3.895669937,1,0.766610026,7.533040047,5.093500137,0.197999999,,,0.421999991,0.997681022,11.07789993,5090.330078,12617.90039,
15,4/10/2025,4,0,0,25,3.632230043,3.622980118,1.821259975,1.801720023,1,0.389483005,7.55396986,4.637829781,0.233999997,,,0.34799999,0.997437,10.82610035,5091.009766,12611.90039,
16,4/10/2025,4,0,0,25,2.924429893,2.916980028,1.860579967,1.056399941,1,0.256467015,8.268750191,4.130660057,0.233999997,,,0.335999995,0.997192025,10.62469959,5090.129883,12606.2002,
17,4/10/2025,4,0,0,25,5.936289787,5.921179771,2.293129921,3.628050089,1,0.687700987,7.901569843,5.289500237,0.192000002,,,0.39199999,0.997375011,10.77579975,5088.589844,12610.7002,
18,4/10/2025,4,0,0,25,3.430870056,3.422130108,1.869760036,1.552369952,1,0.322528005,8.380180359,4.825809956,0.217999995,,,0.319999993,0.997375011,10.77579975,5090.850098,12613.90039,
19,4/10/2025,4,0,0,25.5,5.011149883,5.011149883,2.244299889,2.766839981,1,0.521266997,8.211779594,5.322859764,0.230000004,,,0.379999995,0.997192025,10.67500019,5087.5,12605.7998,
20,4/10/2025,4,0,0,25.5,5.045650005,5.045650005,2.059400082,2.986259937,1,0.608440995,7.446010113,4.920969963,0.197999999,,,0.374000013,0.997375011,10.82610035,5090.350098,12608.59961,
21,4/10/2025,4,0,0,25.5,4.587880135,4.587880135,2.119659901,2.468219995,1,0.532266974,7.189390182,4.649390221,0.246000007,,,0.40200001,0.997375011,10.77579975,5090.660156,12612.2998,
22,4/10/2025,4,0,0,25.5,4.876699924,4.876699924,2.055860043,2.820839882,1,0.565744996,7.639339924,4.998270035,0.216000006,,,0.379999995,0.997559011,10.92679977,5092.549805,12615.90039,
23,4/10/2025,4,0,0,25.5,4.061309814,4.061309814,1.833220005,2.228090048,1,0.470717996,7.444859982,4.745269775,0.211999997,,,0.34799999,0.997497976,11.02750015,5092.299805,12614.2998,
24,4/10/2025,4,0,0,25.5,3.953239918,3.953239918,1.922019958,2.031219959,1,0.44343701,7.307439804,4.592110157,0.230000004,,,0.360000014,0.997497976,10.82610035,5092.049805,12612.7002,
25,4/10/2025,4,0,0,25.5,4.396309853,4.396309853,2.034359932,2.361949921,1,0.476664007,7.782129765,4.967299938,0.222000003,,,0.360000014,0.997559011,10.97719955,5090.97998,12614.7002,
26,4/10/2025,4,0,0,25.5,4.721300125,4.721300125,2.076570034,2.644730091,1,0.533192992,7.65557003,4.973229885,0.222000003,,,0.375999987,0.997375011,10.82610035,5090.350098,12608.59961,
27,4/10/2025,4,0,0,25.5,4.381299973,4.381299973,1.91989994,2.461400032,1,0.468668997,8.277170181,5.265389919,0.202000007,,,0.338,0.997437,10.77579975,5091.160156,12613.09961,
28,4/10/2025,4,0,0,25.5,4.851789951,4.851789951,2.083400011,2.76838994,1,0.511071026,8.418530464,5.431089878,0.208000004,,,0.356000006,0.997375011,10.77579975,5090.290039,12607.40039,
29,4/10/2025,4,0,0,25.5,3.390500069,3.390500069,1.839110017,1.551390052,1,0.346136987,7.515779972,4.494070053,0.238000005,,,0.340000004,0.997313976,10.67500019,5088.839844,12605.7998,
30,4/10/2025,4,0,0,25.5,5.350649834,5.350649834,2.1129601,3.237689972,1,0.678363025,7.145370007,4.785059929,0.202000007,,,0.398000002,0.997437,10.72539997,5091.72998,12609.40039,
31,4/10/2025,4,0,0,25.5,3.373790026,3.373790026,1.793470025,1.580320001,1,0.332103014,8.157320023,4.772819996,0.217999995,,,0.319999993,0.997008979,10.52400017,5088.959961,12605,
32,4/10/2025,4,0,0,25.5,3.458349943,3.458349943,2.032700062,1.425650001,1,0.28609401,9.307350159,4.995960236,0.224000007,,,0.326000005,0.997437,10.77579975,5092.759766,12615.5,
33,4/10/2025,4,0,0,25.5,4.413189888,4.413189888,2.04817009,2.365020037,1,0.451249987,8.331399918,5.254519939,0.217999995,,,0.349999994,0.997437,10.72539997,5091.740234,12611.90039,
34,4/10/2025,4,0,0,25.5,5.046559811,5.046559811,2.134130001,2.912430048,1,0.592531979,7.514890194,4.928170204,0.231999993,,,0.405999988,0.997375011,10.77579975,5089.399902,12609.90039,
35,4/10/2025,4,0,0,25.5,4.085720062,4.085720062,1.803949952,2.281769991,1,0.477553993,7.499959946,4.791200161,0.206,,,0.344000012,0.997253001,10.82610035,5092.799805,12612.7002,
36,4/10/2025,4,0,0,25.5,4.536129951,4.536129951,2.013360023,2.522769928,1,0.492828012,8.018910408,5.131499767,0.209999993,,,0.354000002,0.997559011,11.12819958,5093.5,12619.09961,
37,4/10/2025,4,0,0,25.5,4.156770229,4.156770229,1.986250043,2.170520067,1,0.425502986,8.183930397,5.11480999,0.217999995,,,0.342000008,0.997313976,10.72539997,5088.709961,12612.7002,
38,4/10/2025,4,0,0,25.5,4.815090179,4.815090179,2.092099905,2.722990036,1,0.527399004,8.036000252,5.176020145,0.222000003,,,0.377999991,0.997497976,10.92679977,5092.430176,12615.09961,
39,4/10/2025,4,0,0,25.5,3.459640026,3.459640026,1.668370008,1.791270018,1,0.370002002,7.981729984,4.854279995,0.203999996,,,0.312000006,0.997313976,10.77579975,5090.220215,12605.7998,
