ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
1,5/30/2025,4,0,0,23,8.774129868,8.662409782,3.842109919,4.820300102,1,0.448720008,17.03540039,10.76399994,0.189999998,,,0.319999993,0.997986019,11.6317997,5084.620117,12627.59961,
2,5/30/2025,4,0,0,23,10.70470047,10.56840038,4.310299873,6.258069992,1,0.598562002,15.9083004,10.4769001,0.197999999,,,0.372000009,0.997924984,11.58139992,5085.339844,12623.90039,
3,5/30/2025,4,0,0,23,8.763870239,8.652290344,3.754460096,4.897830009,1,0.493553013,15.53240013,9.946080208,0.194000006,,,0.338,0.997741997,11.38000011,5082.97998,12617.90039,
4,5/30/2025,4,0,0,23,8.774840355,8.66312027,3.520090103,5.143020153,1,0.505544007,15.8210001,10.19810009,0.167999998,,,0.31400001,0.997559011,11.22889996,5082.040039,12613.5,
5,5/30/2025,4,0,0,23.5,7.635650158,7.557879925,3.444770098,4.113100052,1,0.413632005,16.00769997,9.966380119,0.194000006,,,0.31400001,0.997741997,11.43039989,5085.75,12615.09961,
6,5/30/2025,4,0,0,23.5,8.807060242,8.717359543,3.672519922,5.044839859,1,0.505670011,15.57390022,10.00039959,0.184,,,0.331999987,0.997619987,11.32970047,5084.810059,12619.09961,
7,5/30/2025,4,0,0,23.5,12.03339958,11.91079998,4.450940132,7.459889889,1,0.737473011,15.02449989,10.1395998,0.187999994,,,0.40200001,0.997619987,11.27929974,5085.060059,12613.90039,
8,5/30/2025,4,0,0,24,10.37269974,10.29339981,4.008580208,6.284840107,1,0.609036028,15.69680023,10.34389973,0.175999999,,,0.354000002,0.997619987,11.22889996,5084.180176,12615.90039,
9,5/30/2025,4,0,0,24,9.315699577,9.244529724,3.889090061,5.35544014,1,0.506968021,16.47270012,10.58950043,0.192000002,,,0.340000004,0.997559011,11.22889996,5084.620117,12610.2998,
10,5/30/2025,4,0,0,24,10.0941,10.0170002,4.11864996,5.898310184,1,0.568684995,15.85429955,10.39599991,0.195999995,,,0.360000014,0.997681022,11.22889996,5086.709961,12607,
11,5/30/2025,4,0,0,24,9.068829536,8.999549866,3.93524003,5.064310074,1,0.470622987,16.9246006,10.78660011,0.195999995,,,0.331999987,0.997619987,11.22889996,5086.950195,12611.09961,
12,5/30/2025,4,0,0,24.5,10.26329994,10.21100044,4.217030048,5.993959904,1,0.572595,16.01609993,10.49559975,0.197999999,,,0.363999993,0.997375011,10.97719955,5084.810059,12605.7998,
13,5/30/2025,4,0,0,24.5,10.11009979,10.05860043,4.217229843,5.841360092,1,0.554080009,16.18309975,10.57019997,0.200000003,,,0.360000014,0.997375011,10.97719955,5085.879883,12601,
14,5/30/2025,4,0,0,24.5,11.6583004,11.59889984,4.389560223,7.20938015,1,0.695158005,15.46529961,10.39750004,0.186000004,,,0.386000007,0.997437,11.07789993,5084.430176,12606.59961,
15,5/30/2025,4,0,0,24.5,8.185370445,8.143690109,3.803560019,4.340129852,1,0.413112015,17.00569916,10.53040028,0.202000007,,,0.324000001,0.997681022,11.12819958,5089.680176,12605.40039,
16,5/30/2025,4,0,0,25,10.14529991,10.11950016,4.19382,5.925690174,1,0.559248984,16.25919914,10.62370014,0.197999999,,,0.360000014,0.997375011,10.87650013,5084.680176,12606.59961,
17,5/30/2025,4,0,0,25,9.280229568,9.25660038,3.980220079,5.276380062,1,0.495187014,16.65819931,10.68270016,0.195999995,,,0.340000004,0.997437,10.87650013,5085,12605,
18,5/30/2025,4,0,0,25,8.745329857,8.723059654,3.82694006,4.896130085,1,0.455680013,17.00379944,10.77229977,0.192000002,,,0.324000001,0.997437,10.97719955,5087.060059,12600.2002,
19,5/30/2025,4,0,0,25,8.724189758,8.701979637,3.941230059,4.760749817,1,0.444559991,17.06800079,10.73840046,0.200000003,,,0.330000013,0.997253001,10.72539997,5085.060059,12595.7998,
20,5/30/2025,4,0,0,25.5,9.874950409,9.874950409,4.246860027,5.628099918,1,0.507430017,17.22380066,11.12059975,0.200000003,,,0.345999986,0.997375011,10.77579975,5085.060059,12597,
21,5/30/2025,4,0,0,25.5,9.497719765,9.497719765,3.920540094,5.577169895,1,0.516040027,16.79800034,10.84070015,0.181999996,,,0.331999987,0.996948004,10.42329979,5082.419922,12588.90039,
22,5/30/2025,4,0,0,25.5,7.699930191,7.699930191,3.767879963,3.93204999,1,0.371271014,17.43239975,10.61999989,0.203999996,,,0.312000006,0.997253001,10.67500019,5085.75,12597,
23,5/30/2025,4,0,0,26,10.59829998,10.62530041,4.554039955,6.071239948,1,0.557228029,16.74580002,10.92479992,0.208000004,,,0.370000005,0.997313976,10.72539997,5085.569824,12593.2998,
24,5/30/2025,4,0,0,26,9.114649773,9.137860298,3.931190014,5.206669807,1,0.46538499,17.69210052,11.21870041,0.187999994,,,0.324000001,0.997253001,10.62469959,5083.799805,12595.7998,
25,5/30/2025,4,0,0,26,10.77799988,10.80539989,4.424870014,6.380569935,1,0.572655022,17.05080032,11.17409992,0.192000002,,,0.35800001,0.99713099,10.42329979,5084.009766,12594.5,
26,5/30/2025,4,0,0,26.5,9.72492981,9.774450302,4.18667984,5.587769985,1,0.495577991,17.62450027,11.30630016,0.189999998,,,0.333999991,0.997253001,10.47360039,5088.330078,12593.7002,
27,5/30/2025,4,0,0,26.5,9.744199753,9.793820381,4.243169785,5.550660133,1,0.507597983,17.0489006,10.96590042,0.197999999,,,0.345999986,0.997192025,10.42329979,5085.299805,12594.2998,
28,5/30/2025,4,0,0,26.5,11.27970028,11.33720016,4.461619854,6.875549793,1,0.594819009,17.5890007,11.59230042,0.181999996,,,0.354000002,0.99713099,10.47360039,5085.319824,12590.09961,
29,5/30/2025,4,0,0,26.5,8.773830414,8.818510056,4.110799789,4.707709789,1,0.43196699,17.45129967,10.93299961,0.208000004,,,0.333999991,0.996825993,10.12119961,5081.410156,12580,
30,5/30/2025,4,0,0,27,9.016500473,9.085379601,4.065110207,5.020259857,1,0.442678988,18.03000069,11.3725996,0.197999999,,,0.326000005,0.997192025,10.27219963,5084.620117,12587.59961,
31,5/30/2025,4,0,0,27,10.6633997,10.74479961,4.427680016,6.317150116,1,0.562156022,17.27129936,11.26970005,0.194000006,,,0.35800001,0.99713099,10.27219963,5085.379883,12587.7002,
32,5/30/2025,4,0,0,27,9.680259705,9.754210472,3.989480019,5.764729977,1,0.503849983,17.82379913,11.47220039,0.178000003,,,0.324000001,0.997313976,10.47360039,5086.890137,12590.5,
33,5/30/2025,4,0,0,27,9.68599987,9.759989738,4.147809982,5.612180233,1,0.505092978,17.29380035,11.14309978,0.195999995,,,0.342000008,0.99713099,10.32260036,5086.009766,12585.7002,
34,5/30/2025,4,0,0,27,10.71080017,10.79259968,4.230470181,6.562139988,1,0.574864984,17.5673008,11.4513998,0.173999995,,,0.344000012,0.996825993,10.12119961,5083.930176,12580.7998,
35,5/30/2025,4,0,0,27.5,9.349710464,9.444939613,4.132289886,5.312650204,1,0.462127,18.16250038,11.5298996,0.194000006,,,0.328000009,0.997070014,10.17150021,5084.75,12584.5,
36,5/30/2025,4,0,0,27.5,9.345780373,9.440970421,4.152369976,5.288599968,1,0.451382995,18.54910088,11.75230026,0.192000002,,,0.321999997,0.996948004,10.22189999,5084.930176,12579.2002,
37,5/30/2025,4,0,0,27.5,8.3229599,8.407730103,4.029139996,4.378590107,1,0.381985992,18.81209946,11.49989986,0.202000007,,,0.31400001,0.996765018,9.869379997,5083.109863,12574,
38,5/30/2025,4,0,0,27.5,9.032870293,9.124879837,4.141980171,4.982900143,1,0.456416011,17.27400017,10.95149994,0.203999996,,,0.335999995,0.996887028,10.02040005,5084.310059,12581.7002,
39,5/30/2025,4,0,0,27.5,10.95470047,11.06630039,4.472080231,6.594240189,1,0.556020975,18.19149971,11.89960003,0.189999998,,,0.349999994,0.996643007,9.819029808,5081.609863,12572,
