sig,conc,temp,sensor,ymax,tmax,decay,int0,intp,intnt,k,b,mae,rmse,intnt_calibr,conc_err,conc_rel_err,conc_measured
51,0.15,26.5,J68894_420R,186.6622772,0.349999994,-1.7726902012184653,170.36198105089773,3.152919887404749,173.51490093830247,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.006293396365595727,0.041955975770638185,0.14370660363440427
52,0.15,26.5,J68894_420R,185.9573212,0.416000009,-1.7710182071804346,171.9661586256402,3.1861502294633715,175.15230885510357,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.004793288232650933,0.031955254884339555,0.14520671176734906
53,0.15,26.5,J68894_420R,184.4970551,0.388000011,-1.7465684384067446,172.3158760483915,3.385634044896178,175.70151009328765,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.004290138568129431,0.028600923787529542,0.14570986143187056
54,0.15,26.5,J68894_420R,185.5544891,0.451999992,-1.738760733216071,172.63843181131998,3.308222209359039,175.946654020679,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.004065550427661518,0.027103669517743456,0.14593444957233848
55,0.15,26.5,J68894_420R,182.8353729,0.458000004,-1.7459161999738666,173.55024773544972,3.217354160157502,176.7676018956072,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0033134406013517193,0.022089604009011464,0.14668655939864828
56,0.15,27.0,J68894_420R,180.1666107,0.44600001,-1.6630415859162526,173.09655793937722,3.2820065853743516,176.37856452475157,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.003669856444985936,0.024465709633239574,0.14633014355501406
57,0.15,27.0,J68894_420R,183.1374969,0.412,-1.6697021102715446,173.60588224725038,3.4438808378498287,177.0497630851002,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0030549391669707493,0.02036626111313833,0.14694506083302925
58,0.15,27.0,J68894_420R,177.8503265,0.474000007,-1.6563827437558825,173.44571421837438,3.493482292589458,176.93919651096382,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0031562345225092103,0.021041563483394737,0.14684376547749078
59,0.15,27.0,J68894_420R,178.1020966,0.365999997,-1.630852734555788,174.40631539179054,3.5170504220394307,177.92336581382997,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.002254589697004511,0.015030597980030074,0.14774541030299548
60,0.15,27.0,J68894_420R,179.4616547,0.453999996,-1.6508299162900852,174.2174877349009,3.3076832910309815,177.52517102593188,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0026193950907570374,0.01746263393838025,0.14738060490924296
61,0.15,27.0,J68894_420R,178.4042206,0.398000002,-1.6319774944828165,173.91571147223326,3.414566548320538,177.3302780205538,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0027979459450810373,0.018652972967206916,0.14720205405491896
62,0.15,27.0,J68894_420R,176.6921844,0.433999985,-1.641895955679001,174.21481279757424,3.508633299905556,177.7234460974798,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0024377457629766175,0.016251638419844117,0.14756225423702338
63,0.15,27.0,J68894_420R,180.7205048,0.360000014,-1.598578869457399,174.59670131952583,3.540308454080081,178.1370097736059,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0020588601916528004,0.01372573461101867,0.1479411398083472
64,0.15,27.0,J68894_420R,181.5261688,0.451999992,-1.6193629838226051,174.5515349802589,3.4445465028239832,177.9960814830829,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0021879713756201014,0.014586475837467344,0.1478120286243799
65,0.15,27.0,J68894_420R,163.2476654,0.389999986,-1.601616468529873,161.1076738130228,3.3898688035618103,164.4975426165846,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.0145546319546562,0.097030879697708,0.1354453680453438
66,0.15,27.0,J68894_420R,169.7936859,0.409999996,-1.6090668158022263,167.64367178384552,3.283561988205976,170.9272337720515,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.008664082693429637,0.05776055128953091,0.14133591730657036
67,0.15,27.0,J68894_420R,178.4545746,0.370000005,-1.6210343576991786,170.87877526753007,3.2377505245856706,174.11652579211574,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.005742218905827379,0.038281459372182525,0.14425778109417262
68,0.15,27.0,J68894_420R,174.3255463,0.43599999,-1.602917430124625,171.98418866477465,3.3109986260134265,175.29518729078808,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.004662390426921792,0.03108260284614528,0.1453376095730782
69,0.15,27.0,J68894_420R,175.9368744,0.35800001,-1.589929797540936,171.7443442894916,3.3234701471328285,175.06781443662445,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.004870697632622933,0.032471317550819556,0.14512930236737706
70,0.15,27.0,J68894_420R,174.8794403,0.384000003,-1.5618202476110772,172.748703582235,3.3835981399285635,176.13230172216356,1091.5265912109644,16.655321738736006,5.779446465096938,8.922352715520253,180.38431042038067,0.00389546964082646,0.025969797605509735,0.14610453035917353
