ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
1,4/14/2025,4,0,0,23,6.956910133,6.868340015,3.180449963,3.687890053,1,0.401322991,14.86620045,9.21352005,0.192000002,,,0.307999998,0.997375011,11.22889996,5087.390137,12628,
2,4/14/2025,4,0,0,23,7.415949821,7.321529865,3.225450039,4.096079826,1,0.419454008,15.69849968,9.79156971,0.180000007,,,0.301999986,0.997313976,11.22889996,5087.580078,12629.59961,
3,4/14/2025,4,0,0,23,7.726570129,7.628200054,3.232270002,4.3959198,1,0.437350988,16.06599998,10.0770998,0.172000006,,,0.300000012,0.997437,11.27929974,5088.669922,12626,
4,4/14/2025,4,0,0,23,6.781219959,6.694890022,3.069859982,3.625030041,1,0.374601007,15.94130039,9.702500343,0.178000003,,,0.287999988,0.997375011,11.17860031,5087.830078,12622.7002,
5,4/14/2025,4,0,0,23,5.994440079,5.918119907,2.988110065,2.93001008,1,0.309498996,16.86510086,9.488929749,0.173999995,,,0.275999993,0.997681022,11.43039989,5088.950195,12628.7998,
6,4/14/2025,4,0,0,23,8.434029579,8.326649666,3.500159979,4.826489925,1,0.448197991,17.09670067,10.79699993,0.170000002,,,0.300000012,0.997375011,11.17860031,5087.140137,12616.2998,
7,4/14/2025,4,0,0,23.5,8.111590385,8.028969765,3.476989985,4.551980019,1,0.465573013,15.45359993,9.801070213,0.186000004,,,0.321999997,0.997559011,11.32970047,5089.779785,12626.40039,
8,4/14/2025,4,0,0,23.5,7.255189896,7.181300163,3.217499971,3.963799953,1,0.385610998,16.77869987,10.30440044,0.175999999,,,0.287999988,0.997559011,11.32970047,5090.100098,12628,
9,4/14/2025,4,0,0,23.5,7.570260048,7.493150234,3.429389954,4.063759804,1,0.409987986,15.94649982,9.934940338,0.192000002,,,0.310000002,0.997681022,11.48069954,5091.200195,12625.2002,
10,4/14/2025,4,0,0,24,7.867619991,7.807519913,3.341880083,4.465640068,1,0.423191994,16.88689995,10.57680035,0.173999995,,,0.296000004,0.997681022,11.38000011,5092.430176,12626.7998,
11,4/14/2025,4,0,0,24,7.969009876,7.908130169,3.455290079,4.452839851,1,0.421380013,16.9470005,10.59309959,0.175999999,,,0.298000008,0.997559011,11.22889996,5091.359863,12623.09961,
12,4/14/2025,4,0,0,24,7.177509785,7.122680187,3.316349983,3.806319952,1,0.367345989,17.1406002,10.38700008,0.186000004,,,0.294,0.997559011,11.17860031,5089.029785,12622.7002,
13,4/14/2025,4,0,0,24,7.033269882,6.979539871,3.218600035,3.760940075,1,0.351233006,17.81679916,10.73340034,0.175999999,,,0.277999997,0.997619987,11.17860031,5090.540039,12623.5,
14,4/14/2025,4,0,0,24,7.890900135,7.830619812,3.291739941,4.538869858,1,0.433616012,16.79669952,10.49310017,0.165999994,,,0.294,0.997559011,11.17860031,5089.089844,12621.09961,
15,4/14/2025,4,0,0,24.5,7.879899979,7.83976984,3.444109917,4.395659924,1,0.429336995,16.43230057,10.26519966,0.180000007,,,0.305999994,0.997375011,11.07789993,5088.399902,12616.2998,
16,4/14/2025,4,0,0,24.5,7.991240025,7.950540066,3.260999918,4.689549923,1,0.45480901,16.32780075,10.33500004,0.165999994,,,0.298000008,0.997681022,11.27929974,5093.279785,12621.90039,
17,4/14/2025,4,0,0,24.5,8.264670372,8.222579956,3.377919912,4.844659805,1,0.465766013,16.36989975,10.42889977,0.170000002,,,0.30399999,0.997375011,11.07789993,5090.470215,12616.2998,
